pin_id,source_keyword,pin_type,title,save_count,reaction_count,reaction_save_ratio,created_at,date_unknown,image_url,local_image_path,outbound_link,domain,is_ecommerce,commercial_intent_score,make_similar_score,reject_reason,source_url,scraped_at,download_status,download_error
1149051292453504022,living room decor ideas,,,1,0,0.0,,True,https://i.pinimg.com/736x/2a/4b/da/2a4bda27bf749ea798679ef913a4d371.jpg,,https://www.amazon.com/dp/B078HLXXZ6?th=1&linkCode=ll2&tag=earthyeditfin-20&linkId=388e56e86af0c56626b015ff03a733d8&language=en_US&ref_=as_li_ss_tl,amazon.com,True,0,0,below_threshold,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
1149051292453505695,living room decor ideas,,,0,0,0.0,,True,https://i.pinimg.com/736x/c2/fe/80/c2fe80f91e7019a0ab3e8f599cae00c0.jpg,,https://www.amazon.com/dp/B0FGHSNXLG?_encoding=UTF8&th=1&linkCode=ll2&tag=earthyeditfin-20&linkId=e66b0b2cdb0b517d2b1be50f70de4863&language=en_US&ref_=as_li_ss_tl,amazon.com,True,0,0,below_threshold,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
1149051292453506191,living room decor ideas,,,0,0,0.0,,True,https://i.pinimg.com/736x/ad/1e/88/ad1e88008912d6de9fe2533d3f757002.jpg,,https://www.amazon.com/dp/B0BHRC6GWD?pd_rd_i=B0BHRC6GWD&pd_rd_w=NVmZX&content-id=amzn1.sym.85ceacba-39b1-4243-8f28-2e014f9512c7&pf_rd_p=85ceacba-39b1-4243-8f28-2e014f9512c7&pf_rd_r=Q9R8728D2Q440GA6Z4BX&pd_rd_wg=Ptx9y&pd_rd_r=13bf465f-3255-417b-896a-ebd1fb4da5be&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1&linkCode=ll2&tag=earthyeditfin-20&linkId=feea13ae95bbc4718943bcc5c65a0896&language=en_US&ref_=as_li_ss_tl,amazon.com,True,0,0,below_threshold,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
1149051292453506373,living room decor ideas,,,0,0,0.0,,True,https://i.pinimg.com/736x/a7/2b/00/a72b007aaeb5a64f378f6e325966d9ce.jpg,,https://www.amazon.com/dp/B07SFDMNMH?pf_rd_p=4183af32-a88b-4854-910a-d477e73e95ef&pf_rd_r=1F4XMGNSBB59869XCTM2&pd_rd_wg=YEIhj&pd_rd_w=4kfEw&content-id=amzn1.sym.4183af32-a88b-4854-910a-d477e73e95ef&pd_rd_r=93d4ee81-c6c3-4893-8ee6-f1405e7eca0f&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1&linkCode=ll2&tag=earthyeditfin-20&linkId=d80dc247d6d07cb861b809bfaafe9bd6&language=en_US&ref_=as_li_ss_tl,amazon.com,True,0,0,below_threshold,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
1149051292453506541,living room decor ideas,,,0,0,0.0,,True,https://i.pinimg.com/736x/cb/ab/49/cbab4908a7a39c40918fd6d7e7a1e403.jpg,,"https://www.amazon.com/AVZEAR-Storage-Century-Nightstands-Bedside/dp/B0F9P58WP4?crid=36KZ21OACIM82&dib=eyJ2IjoiMSJ9.gyf5iSnWt1Ak-4R3FPZq-1gYPCOT-tgrqHpjfliyNTLrHG50MUVi3PXUnoyESZpsfUHUQ0r53pGDml60tnr0pNlcPLFbKHvW6EhMR3XPOMZVfLfmNiArvqfBf2hkiYkENsY9lJ0mktiQ9_LGXpspKcetGQvVh-EJInwxigX2Arfc27tkGpdjewKVHKcB9WYii0tb69kZ1cD3WY_5NoAiRaS2vcJb6CemE4LlkKIQ3169et72v1vdyq307F1kjOzBAMxeErTG0n9iRfV5SQagEYL7drI3AGpQHXaVgoegsYo.b3XbPYp_YDlmTpYgaO4kLmygzL2DliNzWhEpFvKa8Qo&dib_tag=se&keywords=The%2BWooden%2BFluted%2BSide%2BTable&qid=1778356346&s=home-garden&sprefix=the%2Bwooden%2Bfluted%2Bside%2Btable,garden,625&sr=1-6&th=1&linkCode=ll2&tag=earthyeditfin-20&linkId=066897b44026436147d71f1faa0300d2&language=en_US&ref_=as_li_ss_tl",amazon.com,True,0,0,below_threshold,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
1149051292453507280,living room decor ideas,,,0,0,0.0,,True,https://i.pinimg.com/736x/f7/35/af/f735afadbc7ae68231cd9b9eeb09f024.jpg,,https://www.amazon.com/Dawnwake-Bedroom-Bedside-Nightstand-Dimmable/dp/B0FN323473?pd_rd_w=AOn9V&content-id=amzn1.sym.f5690a4d-f2bb-45d9-9d1b-736fee412437&pf_rd_p=f5690a4d-f2bb-45d9-9d1b-736fee412437&pf_rd_r=NWYJ5CZY65JPG07C4CZN&pd_rd_wg=15obv&pd_rd_r=c28a2bd7-826c-459e-ab0c-37dbf62b28d1&pd_rd_i=B0FN323473&th=1&linkCode=ll2&tag=earthyeditfin-20&linkId=fb5e6681c4932bd23baf2c0975e7bd68&language=en_US&ref_=as_li_ss_tl,amazon.com,True,0,0,below_threshold,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
1149051292453507621,living room decor ideas,,,0,0,0.0,,True,https://i.pinimg.com/736x/30/e9/89/30e9892d1ce786cd08ceeb4241a1cb85.jpg,,"https://www.amazon.com/Atilioo-Bathroom-Restroom-Farmhouse-Anti-Rust/dp/B0FW5B8BKL?crid=2UUCO4L8OUBJ&dib=eyJ2IjoiMSJ9.AhNdIWBUh5vM0YuC0W86G5hRE8DcJ3tpWj40ZbmzEnOYWii0GMRqVKdYKJzwMZ78acTXqUZsX7-mgghUVWhOOmduxBK10u9cPRZGkRE00yOG4IrhGQeV9Ki4Hygah_8Sr3SXqctcGFY-ZDoTjh--NUbl2S751IE0_HPvXX51wJBYBCMPpeesQT0bIRAyN_MqgYmIWcobXk4FfpExx-xugvOM6SqcmUHEe9mbDobdq_zCV47YqzAWCcg4hbsfHNvXl-awFqvo864o5azJ7VEwDy72g6mjcdsr5GXch2QRUBc.qnkI4AbYttqhzFzzhBTeOdWQ_usZ-b2ggY-NTFc7gJE&dib_tag=se&keywords=wooden%2Barched%2Bwall%2Bmirror&qid=1778357257&sprefix=wooden%2Barched%2Bwall%2Bmirror,aps,444&sr=8-23&th=1&linkCode=ll2&tag=earthyeditfin-20&linkId=695ac6f125c499630b9fff14c61d6c63&language=en_US&ref_=as_li_ss_tl",amazon.com,True,0,0,below_threshold,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
1149051292453507873,living room decor ideas,,,0,0,0.0,,True,https://i.pinimg.com/736x/a5/47/3c/a5473cde267aba8915fd3ce4d5e62bd1.jpg,,https://www.amazon.com/dp/B0FB8SMCNL?pd_rd_i=B0FB8SMCNL&pd_rd_w=CiCux&content-id=amzn1.sym.85ceacba-39b1-4243-8f28-2e014f9512c7&pf_rd_p=85ceacba-39b1-4243-8f28-2e014f9512c7&pf_rd_r=YSKHXMTRM36WZ58J151G&pd_rd_wg=GuRTP&pd_rd_r=39f5880b-d227-4123-b9ed-2a6343683a08&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1&linkCode=ll2&tag=earthyeditfin-20&linkId=885147561ce9db0dfee7ed62f9917e80&language=en_US&ref_=as_li_ss_tl,amazon.com,True,0,0,below_threshold,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
1149051292453507994,living room decor ideas,,,0,0,0.0,,True,https://i.pinimg.com/736x/60/3b/23/603b23c43bc890a3c31e443684bc4b0f.jpg,,"https://www.amazon.com/Vanselia-Ceramic-Flower-Vase-Decor/dp/B0DYNDCDFT?crid=14UPKNC1SP8SZ&dib=eyJ2IjoiMSJ9.WQ4a8LkVqqX2P8IUqwa1t_07WuW0I9JDVetb6FW3fiNZ4Giauis2ijhLTDe7vZCorJagJgke45apPvfTFQP_kpTVIyVe5IAwbSc56gIWQiLJ_p2M9jSJz-gs61Yz5Bs8-5SM0ZU6--j9eiY8VzbDLa91EOJQRu8_eLYjdhy8wdKJJcrQO8WCzgV9OJ5rxpNpyc_tZaQT5F0RaGkxmE4b3oXeoePWSOxP3G7aJzmoXs9ocyp3JIFqUeNMwPNCu5tY89LLj8NhQoM6SBLzfk66xuYgtZQeh-bVYO_lkY2smME.Mp3Ey60PghC1utzcjMTGUXgWZDs6HZ1GNtLbAyqY71E&dib_tag=se&keywords=ceramic%2Bvase&qid=1778357713&s=home-garden&sprefix=ceramic%2Bvase,garden,517&sr=1-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1&linkCode=ll2&tag=earthyeditfin-20&linkId=149ab08a1b00e13ceb672c9de36ad62a&language=en_US&ref_=as_li_ss_tl",amazon.com,True,0,0,below_threshold,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
1149051292453508080,living room decor ideas,,,0,0,0.0,,True,https://i.pinimg.com/736x/1f/7c/a2/1f7ca291878b9e8654bc7ca493b7b604.jpg,,"https://www.amazon.com/Botanical-Minimalist-Acrylic-Watercolor-Paintings/dp/B0G3PPSQ26?crid=1OBWUWVZDVKVA&dib=eyJ2IjoiMSJ9.6VvPk5gbIOCI-9H6m3NitOq5cXZ9ilXMJgooai2wbGyvoTPvG387RSG-abmj1yyAWOb7oiHJAszMJu75urQLvtKtmYYROrwce7NvkjoXqLjUsuGWKsNTGXZ0_8UYnPfySCLMQaHWjwYQnlFwa0NAgUnfMaU94V8zilA2sfTp6tDNzOK8zzcVimq--4DX8WijrWFCJWWOivO51INptQkq1YAEj80piMwmhqZ3f8zLDswuJnMQrvEGJ9kJt1d_MwgsYekz3KsqhE7i8V5tTlc5zrDbuNET_Op7_rYvRtY4b_c.qnvBL-viSfroRu7RcSesx42XxBbJ_UY9Rhidh9t9VAQ&dib_tag=se&keywords=floral%2Bwall%2Bart%2Bflower%2Bframe&qid=1778357858&s=home-garden&sprefix=floral%2Bwall%2Bart%2Bflower%2Bfr,garden,650&sr=1-33-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&th=1&linkCode=ll2&tag=earthyeditfin-20&linkId=668ab9a098f6f270c1a94429051e360c&language=en_US&ref_=as_li_ss_tl",amazon.com,True,0,0,below_threshold,https://www.pinterest.com/search/pins/?q=living%20room%20decor%20ideas,2026-05-14T12:08:53.559540+00:00,,
